Supplier	Content of Supplier
Umicore Finland Oy	Conformant refiner sourcing cobalt for Gigafactory Nevada and Fremont external cell sourcing, located in Finland.
Murrin Murrin Nickel Cobalt Plant	Conformant refiner sourcing cobalt for Gigafactory Nevada and Fremont external cell sourcing, located in Australia.
XYZ Electronics Co.	Nonconformant supplier with multiple violations related to labor rights and environmental practices, located in China.
ABC Manufacturing Ltd.	Conformant supplier with a strong commitment to sustainability and responsible sourcing, located in the United States.
DEF Metals Inc.	Nonconformant supplier with significant environmental impact and human rights concerns, located in Brazil.
GHI Technologies Co.	Conformant supplier with a focus on renewable energy and ethical sourcing, located in Germany.
JKL Materials Ltd.	Nonconformant supplier with ongoing labor rights violations, located in India.
MNO Resources Inc.	Conformant supplier with a strong commitment to social responsibility and community engagement, located in Canada.
PQR Metals Co.	Nonconformant supplier with a history of environmental noncompliance, located in Mexico.
STU Electronics Ltd.	Conformant supplier with a focus on sustainable practices and responsible sourcing, located in Japan.
VWX Manufacturing Co.	Nonconformant supplier with labor rights violations and poor working conditions, located in Vietnam.
YZT Resources Ltd.	Conformant supplier sourcing ethically and responsibly, located in Australia.
