tic,conm,cik
WFC,WELLS FARGO & CO,72971
NUE,NUCOR CORP,73309
OXY,OCCIDENTAL PETROLEUM CORP,797468
FE,FIRSTENERGY CORP,1031296
OKE,ONEOK INC,1039684
PNC,PNC FINANCIAL SVCS GROUP INC,713676
PPG,PPG INDUSTRIES INC,79879
PCAR,PACCAR INC,75362
PCG,PG&E CORP,1004980
SRE,SEMPRA ENERGY,1032208
PH,PARKER-HANNIFIN CORP,76334
PAYX,PAYCHEX INC,723531
PPL,PPL CORP,922224
PNR,PENTAIR PLC,77360
PEP,PEPSICO INC,77476
PFE,PFIZER INC,78003
EXC,EXELON CORP,1109357
MO,ALTRIA GROUP INC,764180
COP,CONOCOPHILLIPS,1163165
PG,PROCTER & GAMBLE CO,80424
PEG,PUBLIC SERVICE ENTRP GRP INC,788784
PHM,PULTEGROUP INC,822416
RJF,RAYMOND JAMES FINANCIAL INC,720005
ROK,ROCKWELL AUTOMATION,1024478
ROL,ROLLINS INC,84839
ROST,ROSS STORES INC,745732
SLB,SCHLUMBERGER LTD,87347
SEE,SEALED AIR CORP,1012100
SHW,SHERWIN-WILLIAMS CO,89800
AOS,SMITH (A.O.),91142
SJM,SMUCKER (JM) CO,91419
SNA,SNAP-ON INC,91440
KEY,KEYCORP,91576
EIX,EDISON INTERNATIONAL,827052
SO,SOUTHERN CO,92122
LUV,SOUTHWEST AIRLINES,92380
T,AT&T INC,732717
SWK,STANLEY BLACK & DECKER INC,93556
STT,STATE STREET CORP,93751
PSA,PUBLIC STORAGE,1393311
SYK,STRYKER CORP,310764
SYY,SYSCO CORP,96021
TFX,TELEFLEX INC,96943
TER,TERADYNE INC,97210
TXN,TEXAS INSTRUMENTS INC,97476
TXT,TEXTRON INC,217346
TMO,THERMO FISHER SCIENTIFIC INC,97745
GL,GLOBE LIFE INC,320335
TYL,TYLER TECHNOLOGIES INC,860731
TSN,TYSON FOODS INC  -CL A,100493
UAL,UNITED AIRLINES HOLDINGS INC,100517
AEE,AMEREN CORP,1002910
UNP,UNION PACIFIC CORP,100885
UDR,UDR INC,74208
UNH,UNITEDHEALTH GROUP INC,731766
UPS,UNITED PARCEL SERVICE INC,1090727
RTX,RTX CORP,101829
UHS,UNIVERSAL HEALTH SVCS INC,352915
VFC,VF CORP,103379
VMC,VULCAN MATERIALS CO,1396009
WMT,WALMART INC,104169
WBA,WALGREENS BOOTS ALLIANCE INC,1618921
WST,WEST PHARMACEUTICAL SVSC INC,105770
WDC,WESTERN DIGITAL CORP,106040
WY,WEYERHAEUSER CO,106535
WHR,WHIRLPOOL CORP,106640
WMB,WILLIAMS COS INC,107263
WEC,WEC ENERGY GROUP INC,783325
LNT,ALLIANT ENERGY CORP,352541
TJX,TJX COS INC (THE),109198
ZION,ZIONS BANCORPORATION NA,109380
JKHY,HENRY (JACK) & ASSOCIATES,779152
TFC,TRUIST FINANCIAL CORP,92230
MS,MORGAN STANLEY,895421
TROW,PRICE (T. ROWE) GROUP,1113169
MSFT,MICROSOFT CORP,789019
ORCL,ORACLE CORP,1341439
IT,GARTNER INC,749251
NVR,NVR INC,906163
ADBE,ADOBE INC,796343
FI,FISERV INC,798354
PEAK,HEALTHPEAK PROPERTIES INC,765880
PGR,PROGRESSIVE CORP-OHIO,80661
CDNS,CADENCE DESIGN SYSTEMS INC,813672
CCL,CARNIVAL CORPORATION & PLC,815097
XRAY,DENTSPLY SIRONA INC,818479
PARA,PARAMOUNT GLOBAL,813828
ZTS,ZOETIS INC,1555280
FICO,FAIR ISAAC CORP,814547
SCHW,SCHWAB (CHARLES) CORP,316709
FAST,FASTENAL CO,815556
APH,AMPHENOL CORP,820313
PXD,PIONEER NATURAL RESOURCES CO,1038357
MGM,MGM RESORTS INTERNATIONAL,789570
WM,WASTE MANAGEMENT INC,823768
FCX,FREEPORT-MCMORAN INC,831259
WRB,BERKLEY (W R) CORP,11544
CINF,CINCINNATI FINANCIAL CORP,20286
DVN,DEVON ENERGY CORP,1090012
LH,LABORATORY CP OF AMER HLDGS,920148
VLO,VALERO ENERGY CORP,1035002
IEX,IDEX CORP,832101
TECH,BIO-TECHNE CORP,842023
BRO,BROWN & BROWN INC,79282
GEN,GEN DIGITAL INC,849399
ABBV,ABBVIE INC,1551152
EOG,EOG RESOURCES INC,821189
EA,ELECTRONIC ARTS INC,712515
TMUS,T-MOBILE US INC,1283699
IQV,IQVIA HOLDINGS INC,1478242
NWSA,NEWS CORP,1564708
PTC,PTC INC,857005
PAYC,PAYCOM SOFTWARE INC,1590955
CTLT,CATALENT INC,1596783
KEYS,KEYSIGHT TECHNOLOGIES INC,1601046
CTRA,COTERRA ENERGY INC,858470
SYF,SYNCHRONY FINANCIAL,1601712
ANET,ARISTA NETWORKS INC,1596532
CSCO,CISCO SYSTEMS INC,858877
HOLX,HOLOGIC INC,859737
CZR,CAESARS ENTERTAINMENT INC,1590895
CFG,CITIZENS FINANCIAL GROUP INC,759944
HCA,HCA HEALTHCARE INC,860730
TRMB,TRIMBLE INC,864749
SEDG,SOLAREDGE TECHNOLOGIES INC,1419612
ETSY,ETSY INC,1370637
CDAY,CERIDIAN HCM HOLDING,1725057
AZO,AUTOZONE INC,866787
REGN,REGENERON PHARMACEUTICALS,872589
IDXX,IDEXX LABS INC,874716
AES,AES CORP (THE),874761
MNST,MONSTER BEVERAGE CORP,865752
VRTX,VERTEX PHARMACEUTICALS INC,875320
ZBRA,ZEBRA TECHNOLOGIES CP  -CL A,877212
BIIB,BIOGEN INC,875045
PYPL,PAYPAL HOLDINGS INC,1633917
ODFL,OLD DOMINION FREIGHT,878927
KIM,KIMCO REALTY CORP,879101
QCOM,QUALCOMM INC,804328
GILD,GILEAD SCIENCES INC,882095
ROP,ROPER TECHNOLOGIES INC,882835
SNPS,SYNOPSYS INC,883241
MHK,MOHAWK INDUSTRIES INC,851968
LIN,LINDE PLC,1707925
BSX,BOSTON SCIENTIFIC CORP,885725
STE,STERIS PLC,1757898
DHI,D R HORTON INC,882184
SBUX,STARBUCKS CORP,829224
MTCH,MATCH GROUP INC,891103
HPE,HEWLETT PACKARD ENTERPRISE,1645590
FTV,FORTIVE CORP,1659166
HUM,HUMANA INC,49071
INTU,INTUIT INC,896878
MCHP,MICROCHIP TECHNOLOGY INC,827054
CB,CHUBB LTD,896159
ORLY,O'REILLY AUTOMOTIVE INC,898173
RCL,ROYAL CARIBBEAN GROUP,884887
HWM,HOWMET AEROSPACE INC,4281
CDW,CDW CORP,1402057
ALL,ALLSTATE CORP,899051
CPT,CAMDEN PROPERTY TRUST,906345
EQR,EQUITY RESIDENTIAL,906107
BWA,BORGWARNER INC,908255
LW,LAMB WESTON HOLDINGS INC,1679273
KDP,KEURIG DR PEPPER INC,1418135
MAR,MARRIOTT INTL INC,1048286
COST,COSTCO WHOLESALE CORP,909832
REG,REGENCY CENTERS CORP,910606
INCY,INCYTE CORP,879169
SPG,SIMON PROPERTY GROUP INC,1063761
EMN,EASTMAN CHEMICAL CO,915389
MAA,MID-AMERICA APT CMNTYS INC,912595
MLM,MARTIN MARIETTA MATERIALS,916076
TSCO,TRACTOR SUPPLY CO,916365
ALB,ALBEMARLE CORP,915913
IVZ,INVESCO LTD,914208
WRK,WESTROCK CO,1732845
AVB,AVALONBAY COMMUNITIES INC,915912
CPRT,COPART INC,900075
PLD,PROLOGIS INC,1045609
INVH,INVITATION HOMES INC,1687229
IR,INGERSOLL RAND INC,1699150
ESS,ESSEX PROPERTY TRUST,920522
O,REALTY INCOME CORP,726728
COF,CAPITAL ONE FINANCIAL CORP,927628
DLTR,DOLLAR TREE INC,935703
COR,CENCORA INC,1140859
DRI,DARDEN RESTAURANTS INC,940944
RMD,RESMED INC,943819
BKR,BAKER HUGHES CO,1701605
VICI,VICI PROPERTIES INC,1705696
MRNA,MODERNA INC,1682852
DOW,DOW INC,1751788
FOXA,FOX CORP,1754301
CTVA,CORTEVA INC,1755672
OTIS,OTIS WORLDWIDE CORP,1781335
CARR,CARRIER GLOBAL CORP,1783180
ABNB,AIRBNB INC,1559720
CEG,CONSTELLATION ENE CORP,1868275
GEHC,GE HEALTHCARE TECHNOLOGI INC,1932393
KVUE,KENVUE INC,1944048
VLTO,VERALTO CORP,1967680
WAB,WABTEC CORP,943452
ACGL,ARCH CAPITAL GROUP LTD,947484
EG,EVEREST GROUP LTD,1095073
POOL,POOL CORP,945841
DVA,DAVITA INC,927066
HSIC,HENRY SCHEIN INC,1000228
EL,ESTEE LAUDER COMPANIES INC,1001250
WAT,WATERS CORP,1000697
NTAP,NETAPP INC,1002047
HIG,HARTFORD FINANCIAL SERVICES,874766
IRM,IRON MOUNTAIN INC,1020569
TRV,TRAVELERS COS INC,86312
ANSS,ANSYS INC,1013462
FDS,FACTSET RESEARCH SYSTEMS INC,1013237
STLD,STEEL DYNAMICS INC,1022671
DGX,QUEST DIAGNOSTICS INC,1022079
KMX,CARMAX INC,1170010
TTWO,TAKE-TWO INTERACTIVE SFTWR,946581
AMZN,AMAZON.COM INC,1018724
ARE,ALEXANDRIA R E EQUITIES INC,1035443
QRVO,QORVO INC,1604778
RL,RALPH LAUREN CORP,1037038
BXP,BOSTON PROPERTIES INC,1037540
YUM,YUM BRANDS INC,1041061
CHRW,C H ROBINSON WORLDWIDE INC,1043277
MTD,METTLER-TOLEDO INTL INC,1037646
URI,UNITED RENTALS INC,1067701
VRSN,VERISIGN INC,1014473
PWR,QUANTA SERVICES INC,1050915
AMCR,AMCOR PLC,1748790
NCLH,NORWEGIAN CRUISE LINE HLDGS,1513761
AMT,AMERICAN TOWER CORP,1053507
VTR,VENTAS INC,740260
CTSH,COGNIZANT TECH SOLUTIONS,1058290
CSGP,COSTAR GROUP INC,1057352
RSG,REPUBLIC SERVICES INC,1060391
CCI,CROWN CASTLE INC,1051470
EBAY,EBAY INC,1065088
GS,GOLDMAN SACHS GROUP INC,886982
NVDA,NVIDIA CORP,1045810
APTV,APTIV PLC,1521332
BKNG,BOOKING HOLDINGS INC,1075531
FFIV,F5 INC,1048695
SBAC,SBA COMMUNICATIONS CORP,1034054
JNPR,JUNIPER NETWORKS INC,1043604
BLK,BLACKROCK INC,1364742
AKAM,AKAMAI TECHNOLOGIES INC,1086222
CHTR,CHARTER COMMUNICATIONS INC,1091667
EXPE,EXPEDIA GROUP INC,1324424
A,AGILENT TECHNOLOGIES INC,1090872
TDY,TELEDYNE TECHNOLOGIES INC,1094285
PKG,PACKAGING CORP OF AMERICA,75677
EW,EDWARDS LIFESCIENCES CORP,1099800
MET,METLIFE INC,1099219
ON,ON SEMICONDUCTOR CORP,1097864
NRG,NRG ENERGY INC,1013871
ISRG,INTUITIVE SURGICAL INC,1035267
CRL,CHARLES RIVER LABS INTL INC,1100682
ILMN,ILLUMINA INC,1110803
EQIX,EQUINIX INC,1101239
MCO,MOODY'S CORP,1059556
TPR,TAPESTRY INC,1116132
ALGN,ALIGN TECHNOLOGY INC,1097149
GRMN,GARMIN LTD,1121788
GPN,GLOBAL PAYMENTS INC,1123360
MDLZ,MONDELEZ INTERNATIONAL INC,1103982
PRU,PRUDENTIAL FINANCIAL INC,1137774
ACN,ACCENTURE PLC,1467373
AXON,AXON ENTERPRISE INC,1069183
WTW,WILLIS TOWERS WATSON PLC,1140536
BG,BUNGE GLOBAL SA,1996862
ZBH,ZIMMER BIOMET HOLDINGS INC,1136869
ELV,ELEVANCE HEALTH INC,1156039
CNC,CENTENE CORP,1071739
PFG,PRINCIPAL FINANCIAL GRP INC,1126328
NFLX,NETFLIX INC,1065280
TDG,TRANSDIGM GROUP INC,1260221
CME,CME GROUP INC,1156375
WYNN,WYNN RESORTS LTD,1174922
NDAQ,NASDAQ INC,1120193
STX,SEAGATE TECHNOLOGY HOLDINGS,1137789
MOH,MOLINA HEALTHCARE INC,1179929
LKQ,LKQ CORP,1065696
AIZ,ASSURANT INC,1267238
CRM,SALESFORCE INC,1108524
MKTX,MARKETAXESS HOLDINGS INC,1278021
DPZ,DOMINO'S PIZZA INC,1286681
MA,MASTERCARD INC,1141391
GOOGL,ALPHABET INC,1652044
EXR,EXTRA SPACE STORAGE INC,1289490
MPWR,MONOLITHIC POWER SYSTEMS INC,1280452
DLR,DIGITAL REALTY TRUST INC,1297996
LVS,LAS VEGAS SANDS CORP,1300514
MOS,MOSAIC CO,1285785
CE,CELANESE CORP,1306830
DXCM,DEXCOM INC,1093557
ICE,INTERCONTINENTAL EXCHANGE,1571949
CF,CF INDUSTRIES HOLDINGS INC,1324404
WBD,WARNER BROS DISCOVERY INC,1437107
AMP,AMERIPRISE FINANCIAL INC,820027
LDOS,LEIDOS HOLDINGS INC,1336920
LYV,LIVE NATION ENTERTAINMENT,1335258
CMG,CHIPOTLE MEXICAN GRILL INC,1058090
FIS,FIDELITY NATIONAL INFO SVCS,1136893
META,META PLATFORMS INC,1326801
FANG,DIAMONDBACK ENERGY INC,1539838
PSX,PHILLIPS 66,1534701
NOW,SERVICENOW INC,1373715
PANW,PALO ALTO NETWORKS INC,1327567
FSLR,FIRST SOLAR INC,1274494
BR,BROADRIDGE FINANCIAL SOLUTNS,1383312
BX,BLACKSTONE INC,1393818
PODD,INSULET CORP,1145197
TEL,TE CONNECTIVITY LTD,1385157
DFS,DISCOVER FINANCIAL SVCS,1393612
LULU,LULULEMON ATHLETICA INC,1397187
MSCI,MSCI INC,1408198
ULTA,ULTA BEAUTY INC,1403568
AWK,AMERICAN WATER WORKS CO INC,1410636
V,VISA INC,1403161
PM,PHILIP MORRIS INTERNATIONAL,1413329
VRSK,VERISK ANALYTICS INC,1442145
AVGO,BROADCOM INC,1730168
FTNT,FORTINET INC,1262039
GNRC,GENERAC HOLDINGS INC,1474735
CBOE,CBOE GLOBAL MARKETS INC,1374310
FLT,FLEETCOR TECHNOLOGIES INC,1175454
NXPI,NXP SEMICONDUCTORS NV,1413447
TSLA,TESLA INC,1318605
TRGP,TARGA RESOURCES CORP,1389170
HII,HUNTINGTON INGALLS IND INC,1501585
MPC,MARATHON PETROLEUM CORP,1510295
ENPH,ENPHASE ENERGY INC,1463101
EPAM,EPAM SYSTEMS INC,1352010
XYL,XYLEM INC,1524472
CBRE,CBRE GROUP INC,1138118
LYB,LYONDELLBASELL INDUSTRIES NV,1489393
ALLE,ALLEGION PLC,1579241
